DlangUI log file
2026-03-18 23:38:20.693 D  registerFont(Serif,Constantia)
2026-03-18 23:38:20.693 D  registerFont(Serif,Constantia)
2026-03-18 23:38:20.693 D  registerFont(Serif,Constantia)
2026-03-18 23:38:20.693 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.693 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Corbel Light)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(MonoSpace,Courier New)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Ebrima)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Ebrima)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Ebrima)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Ebrima)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Franklin Gothic Medium)
